tweet_id,favorites,retweet_count
813081950185472002,10443,2996
813066809284972545,8417,2100
813051746834595840,22154,7939
812781120811126785,8025,2072
812709060537683968,7003,1543
812503143955202048,6421,1323
812466873996607488,8445,2091
812372279581671427,14474,3973
811985624773361665,7677,1521
811744202451197953,7980,1731
811647686436880384,5912,804
811627233043480576,13522,3373
811386762094317568,22113,6907
810984652412424192,5645,1554
810896069567610880,9578,1934
810657578271330305,11613,2867
810284430598270976,37432,12340
810254108431155201,15543,3624
809920764300447744,16392,4233
809808892968534016,0,5300
809448704142938112,7341,1586
809220051211603969,21098,6082
809084759137812480,14011,3806
808838249661788160,10707,3296
808733504066486276,8375,2349
808501579447930884,11938,2808
808344865868283904,44995,22502
808134635716833280,0,6435
808106460588765185,9272,2382
808001312164028416,13309,3841
807621403335917568,15423,3974
807106840509214720,125638,60287
807059379405148160,0,7926
807010152071229440,13818,4153
806629075125202948,79456,37719
806620845233815552,0,5991
806576416489959424,5145,2085
806542213899489280,10820,2557
806242860592926720,0,12645
806219024703037440,6811,1291
805958939288408065,0,5836
805932879469572096,8763,2073
805826884734976000,6974,1986
805823200554876929,0,8716
805520635690676224,6084,1782
805487436403003392,9292,2749
805207613751304193,8266,1845
804738756058218496,14536,4166
804475857670639616,6498,2181
804413760345620481,0,3494
804026241225523202,47206,17608
803773340896923648,10649,3002
803692223237865472,0,8056
803638050916102144,11632,4471
803380650405482500,8214,2012
803321560782307329,0,5750
803276597545603072,10623,2669
802952499103731712,9571,2177
802624713319034886,0,3168
802600418706604034,7534,1596
802572683846291456,9481,2707
802323869084381190,17199,6326
802265048156610565,7007,1482
802239329049477120,9610,2834
802185808107208704,0,286
801958328846974976,8180,1852
801854953262350336,1870,254
801538201127157760,8702,2223
801285448605831168,6411,901
801167903437357056,25997,6435
801127390143516673,0,4289
801115127852503040,8569,2267
800859414831898624,732,103
800855607700029440,0,1768
800751577355128832,11139,3005
800513324630806528,13935,3271
800459316964663297,10045,2339
800443802682937345,0,4677
800388270626521089,11823,3047
800188575492947969,0,4283
800141422401830912,16247,2781
800018252395122689,30090,14283
799774291445383169,0,5073
799757965289017345,8899,2347
799422933579902976,8542,2076
799308762079035393,0,5977
799297110730567681,10497,3003
799063482566066176,8559,2673
798933969379225600,13929,4852
798925684722855936,7899,1549
798705661114773508,0,7156
798701998996647937,0,8449
798697898615730177,0,7047
798694562394996736,0,5375
798686750113755136,0,2514
798682547630837760,0,5113
798673117451325440,0,6013
798665375516884993,0,4231
798644042770751489,0,2008
798628517273620480,0,2130
798585098161549313,0,6190
798576900688019456,0,6345
798340744599797760,0,3640
798209839306514432,11005,2770
797971864723324932,12354,3412
797545162159308800,15400,5264
797236660651966464,21182,7211
797165961484890113,243,29
796904159865868288,0,9639
796865951799083009,8134,2066
796759840936919040,12581,3310
796563435802726400,0,7921
796484825502875648,8030,1913
796387464403357696,11676,4521
796177847564038144,0,15530
796149749086875649,34276,15530
796125600683540480,5248,1939
796116448414461957,9667,2622
796080075804475393,8982,2511
796031486298386433,11490,3990
795464331001561088,52769,25855
795400264262053889,10708,3118
795076730285391872,17218,5891
794983741416415232,0,3659
794926597468000259,10900,2500
794355576146903043,0,11169
794332329137291264,10168,2883
794205286408003585,9770,3590
793962221541933056,17829,5300
793845145112371200,9775,2033
793614319594401792,0,3382
793601777308463104,8463,1766
793500921481273345,11345,2580
793286476301799424,26090,9977
793271401113350145,9184,2577
793256262322548741,21190,9048
793241302385262592,11147,3555
793226087023144960,10441,3108
793210959003287553,9477,3046
793195938047070209,16209,6109
793180763617361921,7356,2163
793165685325201412,9997,3019
793150605191548928,6547,1844
793135492858580992,6857,2710
793120401413079041,13467,4242
792913359805018113,15211,4357
792883833364439040,11997,4640
792773781206999040,7791,1822
792394556390137856,14270,4656
792050063153438720,7610,1959
791821351946420224,0,22805
791784077045166082,0,10433
791780927877898241,0,4133
791774931465953280,47842,24087
791672322847637504,12448,3382
791406955684368384,13904,4467
791312159183634433,9316,2755
791026214425268224,0,4457
790987426131050500,10462,2313
790946055508652032,17631,5084
790723298204217344,0,2509
790698755171364864,8686,2076
790581949425475584,21920,7794
790337589677002753,8291,2021
790277117346975746,13312,3449
790227638568808452,0,3873
789986466051088384,9793,2509
789960241177853952,0,4476
789903600034189313,11004,4474
789628658055020548,7962,1932
789599242079838210,7165,2099
789530877013393408,12460,3659
789314372632018944,9122,2504
789280767834746880,0,5360
789268448748703744,9656,2808
789137962068021249,10282,3037
788908386943430656,29042,13421
788765914992902144,29065,11169
788552643979468800,0,7800
788412144018661376,16496,5737
788178268662984705,7650,2298
788150585577050112,6505,1413
788070120937619456,0,3708
788039637453406209,6505,1433
787810552592695296,9180,3310
787717603741622272,10829,3018
787397959788929025,11494,3073
787322443945877504,8248,1897
787111942498508800,0,7292
786963064373534720,28162,8644
786729988674449408,0,2600
786709082849828864,19245,6596
786664955043049472,11276,2766
786595970293370880,9967,3354
786363235746385920,11527,3787
786286427768250368,8416,3098
786233965241827333,16189,5159
786051337297522688,1518,166
786036967502913536,0,7638
785927819176054784,12018,3423
785872687017132033,7070,1968
785639753186217984,8268,2400
785533386513321988,9621,2168
785515384317313025,6445,1357
785264754247995392,7686,1760
785170936622350336,12773,5251
784826020293709826,10723,3494
784517518371221505,9466,2742
784431430411685888,6027,1386
784183165795655680,21261,8716
784057939640352768,31573,12044
783839966405230592,31748,11677
783821107061198850,7766,2112
783695101801398276,11036,3487
783466772167098368,8939,2429
783391753726550016,17820,5945
783347506784731136,0,6046
783334639985389568,30856,12645
783085703974514689,8598,2397
782969140009107456,25474,7926
782747134529531904,7899,1507
782722598790725632,18270,5836
782598640137187329,8235,2022
782305867769217024,17592,6023
782021823840026624,0,6721
781955203444699136,11741,3630
781661882474196992,11026,2923
781655249211752448,4217,1207
781524693396357120,21912,5991
781308096455073793,7515,2745
781251288990355457,8895,2258
781163403222056960,10320,2952
780931614150983680,22849,7921
780858289093574656,7589,2159
780800785462489090,5803,1404
780601303617732608,12755,3598
780543529827336192,6648,1862
780496263422808064,0,3990
780476555013349377,0,125
780459368902959104,5585,1152
780192070812196864,9182,2412
780092040432480260,0,2479
780074436359819264,12903,5385
779834332596887552,20002,7638
779377524342161408,9312,3359
779124354206535695,0,19849
779123168116150273,12446,3937
779056095788752897,15608,4874
778990705243029504,21078,7818
778774459159379968,0,10736
778764940568104960,909,394
778748913645780993,7269,1429
